s,C,mol/mol
Time,"TC_Center","CO_Center"
 5.8322986E+001, 7.0860588E+001, 5.4885963E-005
 5.8710904E+001, 7.2119079E+001, 5.6181125E-005
 5.9098822E+001, 7.3373002E+001, 5.6424753E-005
 5.9486740E+001, 7.4483530E+001, 5.5788626E-005
 5.9847690E+001, 7.5338740E+001, 5.4642319E-005
 6.0195157E+001, 7.5915997E+001, 5.3089757E-005
 6.0577370E+001, 7.6209241E+001, 5.0500836E-005
 6.0959583E+001, 7.6141114E+001, 4.6864121E-005
 6.1214392E+001, 7.5801331E+001, 4.3478516E-005
 6.1596605E+001, 7.5194723E+001, 4.0072927E-005
 6.1978818E+001, 7.4207771E+001, 3.6168906E-005
 6.2361031E+001, 7.3031463E+001, 3.3000904E-005
 6.2743244E+001, 7.1826736E+001, 3.0781389E-005
 6.3097876E+001, 7.0740001E+001, 2.9394622E-005
 6.3407327E+001, 6.9862556E+001, 2.8954775E-005
 6.3769685E+001, 6.9053016E+001, 2.9311220E-005
 6.4118742E+001, 6.8381744E+001, 3.0036366E-005
 6.4441198E+001, 6.7917074E+001, 3.1047511E-005
 6.4871140E+001, 6.7594500E+001, 3.2887184E-005
 6.5213640E+001, 6.7446811E+001, 3.4504652E-005
 6.5534203E+001, 6.7451825E+001, 3.5092040E-005
 6.5897054E+001, 6.7569314E+001, 3.5617344E-005
 6.6257601E+001, 6.7782366E+001, 3.5944343E-005
 6.6671208E+001, 6.8028859E+001, 3.5160290E-005
 6.6981413E+001, 6.8206462E+001, 3.3623192E-005
 6.7357463E+001, 6.8297566E+001, 3.1916843E-005
 6.7720995E+001, 6.8303853E+001, 2.9870250E-005
 6.8111791E+001, 6.8210487E+001, 2.7748084E-005
 6.8421701E+001, 6.8064963E+001, 2.6401336E-005
 6.8861574E+001, 6.7941043E+001, 2.6568097E-005
 6.9157226E+001, 6.7906611E+001, 2.7812894E-005
 6.9482442E+001, 6.7993626E+001, 2.9719119E-005
 6.9916064E+001, 6.8293420E+001, 3.2782918E-005
 7.0273802E+001, 6.8859991E+001, 3.6568819E-005
 7.0631539E+001, 6.9589659E+001, 4.0224947E-005
 7.0989277E+001, 7.0572901E+001, 4.4713449E-005
 7.1307594E+001, 7.1764644E+001, 5.0308070E-005
 7.1732016E+001, 7.3508889E+001, 5.7693232E-005
 7.2050333E+001, 7.5672591E+001, 6.5923571E-005
 7.2451261E+001, 7.8279649E+001, 7.5311356E-005
 7.2734335E+001, 8.1332296E+001, 8.5881804E-005
 7.3111768E+001, 8.4921296E+001, 9.6508713E-005
 7.3489201E+001, 8.9344544E+001, 1.0556690E-004
 7.3866634E+001, 9.3520155E+001, 1.0909370E-004
 7.4168580E+001, 9.6808287E+001, 1.0752918E-004
 7.4583756E+001, 9.9526959E+001, 1.0193550E-004
 7.4895138E+001, 1.0152293E+002, 9.5710247E-005
 7.5310314E+001, 1.0281350E+002, 9.0291629E-005
 7.5621697E+001, 1.0368674E+002, 8.6147113E-005
 7.6036873E+001, 1.0440402E+002, 8.4446452E-005
 7.6333857E+001, 1.0511512E+002, 8.4207383E-005
 7.6681418E+001, 1.0572976E+002, 8.3377955E-005
 7.7078279E+001, 1.0629905E+002, 8.0638987E-005
 7.7475141E+001, 1.0658195E+002, 7.5865791E-005
 7.7824379E+001, 1.0645731E+002, 7.0038748E-005
 7.8173616E+001, 1.0596259E+002, 6.4526976E-005
 7.8522854E+001, 1.0511940E+002, 5.9888184E-005
 7.8872092E+001, 1.0397958E+002, 5.5415751E-005
 7.9230061E+001, 1.0259679E+002, 5.1400729E-005
 7.9643996E+001, 1.0107164E+002, 5.0749002E-005
 7.9992622E+001, 9.9877956E+001, 5.3948490E-005
 8.0341249E+001, 9.9278064E+001, 5.9769381E-005
 8.0652324E+001, 9.9213340E+001, 6.7107714E-005
 8.1042056E+001, 9.9798754E+001, 7.6297120E-005
 8.1431788E+001, 1.0127037E+002, 8.6324306E-005
 8.1724087E+001, 1.0317021E+002, 9.4896038E-005
 8.2113819E+001, 1.0561795E+002, 1.0397986E-004
 8.2466773E+001, 1.0876495E+002, 1.1556291E-004
 8.2807467E+001, 1.1229970E+002, 1.2871976E-004
 8.3173714E+001, 1.1650592E+002, 1.4343192E-004
 8.3548478E+001, 1.2131678E+002, 1.5791063E-004
 8.3923242E+001, 1.2662898E+002, 1.7207325E-004
 8.4298006E+001, 1.3252711E+002, 1.8596808E-004
 8.4672771E+001, 1.3906136E+002, 1.9966350E-004
 8.4981951E+001, 1.4603203E+002, 2.1367414E-004
 8.5394192E+001, 1.5391509E+002, 2.3155311E-004
 8.5703372E+001, 1.6178106E+002, 2.5824988E-004
 8.6104066E+001, 1.6933671E+002, 2.8448336E-004
 8.6470122E+001, 1.7701075E+002, 2.9608032E-004
 8.6836178E+001, 1.8345595E+002, 2.8707707E-004
 8.7202234E+001, 1.8831957E+002, 2.5407255E-004
 8.7568290E+001, 1.9114078E+002, 2.1036854E-004
 8.7842832E+001, 1.9135026E+002, 1.7737436E-004
 8.8208888E+001, 1.8889142E+002, 1.4990131E-004
 8.8574944E+001, 1.8415765E+002, 1.2359779E-004
 8.8940999E+001, 1.7864685E+002, 1.0691904E-004
 8.9307055E+001, 1.7302423E+002, 9.8465539E-005
 8.9673111E+001, 1.6753676E+002, 9.3194004E-005
 9.0105972E+001, 1.6172784E+002, 8.9519989E-005
 9.0413443E+001, 1.5672193E+002, 8.6204338E-005
 9.0806921E+001, 1.5208009E+002, 8.1646896E-005
 9.1102029E+001, 1.4748277E+002, 7.5737658E-005
 9.1495507E+001, 1.4298163E+002, 6.9777098E-005
 9.1888985E+001, 1.3822627E+002, 6.5843812E-005
 9.2184093E+001, 1.3460932E+002, 6.7104589E-005
 9.2535180E+001, 1.3188299E+002, 7.1718941E-005
 9.2903822E+001, 1.2960354E+002, 7.9736067E-005
 9.3290018E+001, 1.2826522E+002, 9.0700103E-005
 9.3642326E+001, 1.2825390E+002, 1.0546306E-004
 9.3983339E+001, 1.2969888E+002, 1.2471201E-004
 9.4324352E+001, 1.3244321E+002, 1.4566168E-004
 9.4750618E+001, 1.3694243E+002, 1.6777720E-004
 9.5091631E+001, 1.4271749E+002, 1.8753144E-004
 9.5432643E+001, 1.4912719E+002, 2.0301543E-004
 9.5773656E+001, 1.5641856E+002, 2.1060327E-004
 9.6199922E+001, 1.6428704E+002, 2.0781760E-004
 9.6529183E+001, 1.7103115E+002, 1.9795741E-004
 9.6873788E+001, 1.7578091E+002, 1.8688581E-004
 9.7203125E+001, 1.7931750E+002, 1.7424915E-004
 9.7598331E+001, 1.8102148E+002, 1.5862002E-004
 9.7927668E+001, 1.8025046E+002, 1.4080094E-004
 9.8322874E+001, 1.7726675E+002, 1.1886657E-004
 9.8652211E+001, 1.7267805E+002, 9.8447198E-005
 9.9047417E+001, 1.6751351E+002, 8.5875587E-005
 9.9403101E+001, 1.6247734E+002, 8.1786955E-005
 9.9772006E+001, 1.5835301E+002, 8.1870176E-005
